,Player,Team_x,FPTS,FPTS_high,FPTS_low,Position,Range,matches,ID,First Name,Last Name,Position_y,Team_y,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,Name,Expert FP/Salary,Summary
0,Travis Kelce,KC,14.6,21.3,14.3,TE,7.0,Travis Kelce,nfl.p.26686,Travis,Kelce,TE,KC,DEN,DEN@KC,8:15PM EDT,34,13.4,Q, ,Travis Kelce,0.4294117647058823,"('Travis Kelce', 0.4294117647058823, 34, 14.6, 7.0, 21.3, 14.3)"
1,T.J. Hockenson,MIN,11.9,18.5,11.6,TE,6.9,T.J. Hockenson,nfl.p.31840,T.J.,Hockenson,TE,MIN,CHI,MIN@CHI,1:00PM EDT,23,10.1, , ,T.J. Hockenson,0.5173913043478261,"('T.J. Hockenson', 0.5173913043478261, 23, 11.9, 6.9, 18.5, 11.6)"
2,Mark Andrews,BAL,11.1,16.1,10.8,TE,5.300000000000001,Mark Andrews,nfl.p.31056,Mark,Andrews,TE,BAL,TEN,BAL@TEN,9:30AM EDT,21,12.6, , ,Mark Andrews,0.5285714285714286,"('Mark Andrews', 0.5285714285714286, 21, 11.1, 5.300000000000001, 16.1, 10.8)"
3,Evan Engram,JAC,9.1,14.5,8.5,TE,6.0,Evan Engram,nfl.p.30136,Evan,Engram,TE,JAC,IND,IND@JAC,1:00PM EDT,19,8.1, , ,Evan Engram,0.4789473684210526,"('Evan Engram', 0.4789473684210526, 19, 9.1, 6.0, 14.5, 8.5)"
4,Sam LaPorta,DET,8.9,13.0,8.6,TE,4.4,Sam LaPorta,nfl.p.40064,Sam,LaPorta,TE,DET,TB,DET@TB,4:25PM EDT,20,11.9,Q, ,Sam LaPorta,0.445,"('Sam LaPorta', 0.445, 20, 8.9, 4.4, 13.0, 8.6)"
5,Cole Kmet,CHI,8.8,14.1,7.1,TE,7.0,Cole Kmet,nfl.p.32713,Cole,Kmet,TE,CHI,MIN,MIN@CHI,1:00PM EDT,17,10.5,Q, ,Cole Kmet,0.5176470588235295,"('Cole Kmet', 0.5176470588235295, 17, 8.8, 7.0, 14.1, 7.1)"
6,Darren Waller,NYG,8.8,13.6,7.8,TE,5.8,Darren Waller,nfl.p.28592,Darren,Waller,TE,NYG,BUF,NYG@BUF,8:20PM EDT,12,7.1,Q, ,Darren Waller,0.7333333333333334,"('Darren Waller', 0.7333333333333334, 12, 8.8, 5.8, 13.6, 7.8)"
7,George Kittle,SF,8.4,11.8,7.8,TE,4.000000000000001,George Kittle,nfl.p.30259,George,Kittle,TE,SF,CLE,SF@CLE,1:00PM EDT,15,9.6, , ,George Kittle,0.56,"('George Kittle', 0.56, 15, 8.4, 4.000000000000001, 11.8, 7.8)"
8,Dallas Goedert,PHI,8.0,12.3,7.9,TE,4.4,Dallas Goedert,nfl.p.31019,Dallas,Goedert,TE,PHI,NYJ,PHI@NYJ,4:25PM EDT,18,7.4, , ,Dallas Goedert,0.4444444444444444,"('Dallas Goedert', 0.4444444444444444, 18, 8.0, 4.4, 12.3, 7.9)"
9,Dalton Schultz,HOU,7.5,12.2,7.0,TE,5.199999999999999,Dalton Schultz,nfl.p.31107,Dalton,Schultz,TE,HOU,NO,NO@HOU,1:00PM EDT,11,7.2, , ,Dalton Schultz,0.6818181818181818,"('Dalton Schultz', 0.6818181818181818, 11, 7.5, 5.199999999999999, 12.2, 7.0)"
10,Zach Ertz,ARI,7.4,11.9,6.8,TE,5.1000000000000005,Zach Ertz,nfl.p.26658,Zach,Ertz,TE,ARI,LA,ARI@LA,4:25PM EDT,14,6.3, , ,Zach Ertz,0.5285714285714286,"('Zach Ertz', 0.5285714285714286, 14, 7.4, 5.1000000000000005, 11.9, 6.8)"
11,Logan Thomas,WAS,7.2,10.5,6.6,TE,3.9,Logan Thomas,nfl.p.27648,Logan,Thomas,TE,WAS,ATL,WAS@ATL,1:00PM EDT,15,9.4, , ,Logan Thomas,0.48000000000000004,"('Logan Thomas', 0.48000000000000004, 15, 7.2, 3.9, 10.5, 6.6)"
12,Jake Ferguson,DAL,7.2,11.6,6.8,TE,4.8,Jake Ferguson,nfl.p.34085,Jake,Ferguson,TE,DAL,LAC,DAL@LAC,8:15PM EDT,15,6.7, , ,Jake Ferguson,0.48000000000000004,"('Jake Ferguson', 0.48000000000000004, 15, 7.2, 4.8, 11.6, 6.8)"
13,Kyle Pitts,ATL,7.1,10.7,7.1,TE,3.6,Kyle Pitts,nfl.p.33392,Kyle,Pitts,TE,ATL,WAS,WAS@ATL,1:00PM EDT,13,5.9, , ,Kyle Pitts,0.5461538461538461,"('Kyle Pitts', 0.5461538461538461, 13, 7.1, 3.6, 10.7, 7.1)"
14,Tyler Higbee,LAR,6.8,11.1,7.0,TE,4.1,Tyler Higbee,nfl.p.29344,Tyler,Higbee,TE,LA,ARI,ARI@LA,4:25PM EDT,16,6.1, , ,Tyler Higbee,0.425,"('Tyler Higbee', 0.425, 16, 6.8, 4.1, 11.1, 7.0)"
15,Hunter Henry,NE,6.5,10.1,5.8,TE,4.3,Hunter Henry,nfl.p.29269,Hunter,Henry,TE,NE,LV,NE@LV,4:05PM EDT,13,7.6, , ,Hunter Henry,0.5,"('Hunter Henry', 0.5, 13, 6.5, 4.3, 10.1, 5.8)"
16,David Njoku,CLE,6.3,10.5,5.0,TE,5.5,David Njoku,nfl.p.30142,David,Njoku,TE,CLE,SF,SF@CLE,1:00PM EDT,12,4.9,Q, ,David Njoku,0.525,"('David Njoku', 0.525, 12, 6.3, 5.5, 10.5, 5.0)"
17,Tyler Conklin,NYJ,6.2,10.0,5.2,TE,4.8,Tyler Conklin,nfl.p.31127,Tyler,Conklin,TE,NYJ,PHI,PHI@NYJ,4:25PM EDT,13,5.8, , ,Tyler Conklin,0.47692307692307695,"('Tyler Conklin', 0.47692307692307695, 13, 6.2, 4.8, 10.0, 5.2)"
18,Dawson Knox,BUF,6.1,10.3,4.9,TE,5.4,Dawson Knox,nfl.p.31928,Dawson,Knox,TE,BUF,NYG,NYG@BUF,8:20PM EDT,12,3.8,Q, ,Dawson Knox,0.5083333333333333,"('Dawson Knox', 0.5083333333333333, 12, 6.1, 5.4, 10.3, 4.9)"
19,Chigoziem Okonkwo,TEN,6.0,9.6,5.9,TE,3.6999999999999993,Chigoziem Okonkwo,nfl.p.34099,Chigoziem,Okonkwo,TE,TEN,BAL,BAL@TEN,9:30AM EDT,11,3.6, , ,Chigoziem Okonkwo,0.5454545454545454,"('Chigoziem Okonkwo', 0.5454545454545454, 11, 6.0, 3.6999999999999993, 9.6, 5.9)"
20,Jonnu Smith,ATL,5.6,9.9,5.0,TE,4.9,Jonnu Smith,nfl.p.30213,Jonnu,Smith,TE,ATL,WAS,WAS@ATL,1:00PM EDT,13,8.3,Q, ,Jonnu Smith,0.43076923076923074,"('Jonnu Smith', 0.43076923076923074, 13, 5.6, 4.9, 9.9, 5.0)"
21,Gerald Everett,LAC,5.6,10.0,4.9,TE,5.1,Gerald Everett,nfl.p.30157,Gerald,Everett,TE,LAC,DAL,DAL@LAC,8:15PM EDT,12,4.4, , ,Gerald Everett,0.4666666666666666,"('Gerald Everett', 0.4666666666666666, 12, 5.6, 5.1, 10.0, 4.9)"
22,Noah Fant,SEA,5.1,7.1,4.6,TE,2.5,Noah Fant,nfl.p.31852,Noah,Fant,TE,SEA,CIN,SEA@CIN,1:00PM EDT,13,7.0, , ,Noah Fant,0.3923076923076923,"('Noah Fant', 0.3923076923076923, 13, 5.1, 2.5, 7.1, 4.6)"
23,Cade Otton,TB,5.1,8.4,4.6,TE,3.8000000000000007,Cade Otton,nfl.p.34062,Cade,Otton,TE,TB,DET,DET@TB,4:25PM EDT,13,5.2, , ,Cade Otton,0.3923076923076923,"('Cade Otton', 0.3923076923076923, 13, 5.1, 3.8000000000000007, 8.4, 4.6)"
114,Patrick Mahomes II,KC,23.6,26.8,21.7,QB,5.100000000000001,Patrick Mahomes,nfl.p.30123,Patrick,Mahomes,QB,KC,DEN,DEN@KC,8:15PM EDT,39,20.6, , ,Patrick Mahomes,0.6051282051282052,"('Patrick Mahomes II', 0.6051282051282052, 39, 23.6, 5.100000000000001, 26.8, 21.7)"
115,Josh Allen,BUF,22.9,26.5,22.2,QB,4.300000000000001,Josh Allen,nfl.p.30977,Josh,Allen,QB,BUF,NYG,NYG@BUF,8:20PM EDT,40,24.7, , ,Josh Allen,0.5725,"('Josh Allen', 0.5725, 40, 22.9, 4.300000000000001, 26.5, 22.2)"
116,Jalen Hurts,PHI,21.7,26.0,19.3,QB,6.699999999999999,Jalen Hurts,nfl.p.32723,Jalen,Hurts,QB,PHI,NYJ,PHI@NYJ,4:25PM EDT,34,22.6, , ,Jalen Hurts,0.638235294117647,"('Jalen Hurts', 0.638235294117647, 34, 21.7, 6.699999999999999, 26.0, 19.3)"
117,Lamar Jackson,BAL,20.9,24.8,19.7,QB,5.100000000000001,Lamar Jackson,nfl.p.31002,Lamar,Jackson,QB,BAL,TEN,BAL@TEN,9:30AM EDT,34,19.5, , ,Lamar Jackson,0.6147058823529411,"('Lamar Jackson', 0.6147058823529411, 34, 20.9, 5.100000000000001, 24.8, 19.7)"
118,Tua Tagovailoa,MIA,20.0,23.6,18.5,QB,5.100000000000001,Tua Tagovailoa,nfl.p.32675,Tua,Tagovailoa,QB,MIA,CAR,CAR@MIA,1:00PM EDT,32,20.7, , ,Tua Tagovailoa,0.625,"('Tua Tagovailoa', 0.625, 32, 20.0, 5.100000000000001, 23.6, 18.5)"
119,Justin Fields,CHI,20.0,20.2,18.4,QB,1.8000000000000007,Justin Fields,nfl.p.33399,Justin,Fields,QB,CHI,MIN,MIN@CHI,1:00PM EDT,34,21.2, , ,Justin Fields,0.5882352941176471,"('Justin Fields', 0.5882352941176471, 34, 20.0, 1.8000000000000007, 20.2, 18.4)"
120,Justin Herbert,LAC,19.7,19.7,18.6,QB,1.099999999999998,Justin Herbert,nfl.p.32676,Justin,Herbert,QB,LAC,DAL,DAL@LAC,8:15PM EDT,32,24.2,Q, ,Justin Herbert,0.615625,"('Justin Herbert', 0.615625, 32, 19.7, 1.099999999999998, 19.7, 18.6)"
121,Trevor Lawrence,JAC,18.8,22.8,17.5,QB,5.300000000000001,Trevor Lawrence,nfl.p.33389,Trevor,Lawrence,QB,JAC,IND,IND@JAC,1:00PM EDT,26,15.1, , ,Trevor Lawrence,0.7230769230769231,"('Trevor Lawrence', 0.7230769230769231, 26, 18.8, 5.300000000000001, 22.8, 17.5)"
122,Joe Burrow,CIN,18.5,20.3,17.8,QB,2.5,Joe Burrow,nfl.p.32671,Joe,Burrow,QB,CIN,SEA,SEA@CIN,1:00PM EDT,27,11.6, , ,Joe Burrow,0.6851851851851852,"('Joe Burrow', 0.6851851851851852, 27, 18.5, 2.5, 20.3, 17.8)"
123,Kirk Cousins,MIN,18.4,21.1,17.4,QB,3.700000000000003,Kirk Cousins,nfl.p.25812,Kirk,Cousins,QB,MIN,CHI,MIN@CHI,1:00PM EDT,35,20.8, , ,Kirk Cousins,0.5257142857142857,"('Kirk Cousins', 0.5257142857142857, 35, 18.4, 3.700000000000003, 21.1, 17.4)"
124,Matthew Stafford,LAR,18.2,20.4,16.9,QB,3.5,Matthew Stafford,nfl.p.9265,Matthew,Stafford,QB,LA,ARI,ARI@LA,4:25PM EDT,30,15.6, , ,Matthew Stafford,0.6066666666666667,"('Matthew Stafford', 0.6066666666666667, 30, 18.2, 3.5, 20.4, 16.9)"
125,Dak Prescott,DAL,17.7,19.2,16.2,QB,3.0,Dak Prescott,nfl.p.29369,Dak,Prescott,QB,DAL,LAC,DAL@LAC,8:15PM EDT,27,12.6, , ,Dak Prescott,0.6555555555555556,"('Dak Prescott', 0.6555555555555556, 27, 17.7, 3.0, 19.2, 16.2)"
126,Russell Wilson,DEN,17.0,20.1,16.1,QB,4.0,Russell Wilson,nfl.p.25785,Russell,Wilson,QB,DEN,KC,DEN@KC,8:15PM EDT,26,19.7, , ,Russell Wilson,0.6538461538461539,"('Russell Wilson', 0.6538461538461539, 26, 17.0, 4.0, 20.1, 16.1)"
127,Geno Smith,SEA,16.8,19.7,15.7,QB,4.0,Geno Smith,nfl.p.26662,Geno,Smith,QB,SEA,CIN,SEA@CIN,1:00PM EDT,24,14.3, , ,Geno Smith,0.7000000000000001,"('Geno Smith', 0.7000000000000001, 24, 16.8, 4.0, 19.7, 15.7)"
128,Sam Howell,WAS,16.3,20.8,14.0,QB,6.800000000000001,Sam Howell,nfl.p.34100,Sam,Howell,QB,WAS,ATL,WAS@ATL,1:00PM EDT,23,17.6, , ,Sam Howell,0.7086956521739131,"('Sam Howell', 0.7086956521739131, 23, 16.3, 6.800000000000001, 20.8, 14.0)"
129,Brock Purdy,SF,16.2,19.9,14.8,QB,5.099999999999998,Brock Purdy,nfl.p.34218,Brock,Purdy,QB,SF,CLE,SF@CLE,1:00PM EDT,26,19.8, , ,Brock Purdy,0.6230769230769231,"('Brock Purdy', 0.6230769230769231, 26, 16.2, 5.099999999999998, 19.9, 14.8)"
130,C.J. Stroud,HOU,16.2,18.7,15.2,QB,3.5,C.J. Stroud,nfl.p.40030,C.J.,Stroud,QB,HOU,NO,NO@HOU,1:00PM EDT,28,17.6, , ,C.J. Stroud,0.5785714285714285,"('C.J. Stroud', 0.5785714285714285, 28, 16.2, 3.5, 18.7, 15.2)"
131,Joshua Dobbs,ARI,16.0,18.8,14.0,QB,4.800000000000001,Joshua Dobbs,nfl.p.30248,Joshua,Dobbs,QB,ARI,LA,ARI@LA,4:25PM EDT,24,14.7, , ,Joshua Dobbs,0.6666666666666666,"('Joshua Dobbs', 0.6666666666666666, 24, 16.0, 4.800000000000001, 18.8, 14.0)"
132,Jared Goff,DET,16.0,19.1,14.0,QB,5.100000000000001,Jared Goff,nfl.p.29235,Jared,Goff,QB,DET,TB,DET@TB,4:25PM EDT,26,19.4, , ,Jared Goff,0.6153846153846154,"('Jared Goff', 0.6153846153846154, 26, 16.0, 5.100000000000001, 19.1, 14.0)"
133,Baker Mayfield,TB,15.9,18.1,14.4,QB,3.700000000000001,Baker Mayfield,nfl.p.30971,Baker,Mayfield,QB,TB,DET,DET@TB,4:25PM EDT,26,17.3, , ,Baker Mayfield,0.6115384615384616,"('Baker Mayfield', 0.6115384615384616, 26, 15.9, 3.700000000000001, 18.1, 14.4)"
134,Jimmy Garoppolo,LV,15.8,18.2,12.8,QB,5.399999999999999,Jimmy Garoppolo,nfl.p.27590,Jimmy,Garoppolo,QB,LV,NE,NE@LV,4:05PM EDT,21,14.5, , ,Jimmy Garoppolo,0.7523809523809524,"('Jimmy Garoppolo', 0.7523809523809524, 21, 15.8, 5.399999999999999, 18.2, 12.8)"
135,Gardner Minshew II,IND,14.8,17.6,13.9,QB,3.700000000000001,Gardner Minshew,nfl.p.32010,Gardner,Minshew,QB,IND,JAC,IND@JAC,1:00PM EDT,23,7.6, , ,Gardner Minshew,0.6434782608695653,"('Gardner Minshew II', 0.6434782608695653, 23, 14.8, 3.700000000000001, 17.6, 13.9)"
136,Deshaun Watson,CLE,14.8,19.9,7.3,QB,12.599999999999998,Deshaun Watson,nfl.p.30125,Deshaun,Watson,QB,CLE,SF,SF@CLE,1:00PM EDT,25,18.5,Q, ,Deshaun Watson,0.5920000000000001,"('Deshaun Watson', 0.5920000000000001, 25, 14.8, 12.599999999999998, 19.9, 7.3)"
137,Bryce Young,CAR,14.6,18.2,13.3,QB,4.899999999999999,Bryce Young,nfl.p.40029,Bryce,Young,QB,CAR,MIA,CAR@MIA,1:00PM EDT,22,12.6, , ,Bryce Young,0.6636363636363636,"('Bryce Young', 0.6636363636363636, 22, 14.6, 4.899999999999999, 18.2, 13.3)"
138,Derek Carr,NO,14.3,16.6,13.8,QB,2.8000000000000007,Derek Carr,nfl.p.27564,Derek,Carr,QB,NO,HOU,NO@HOU,1:00PM EDT,21,10.1, , ,Derek Carr,0.680952380952381,"('Derek Carr', 0.680952380952381, 21, 14.3, 2.8000000000000007, 16.6, 13.8)"
139,Desmond Ridder,ATL,14.3,16.3,13.6,QB,2.700000000000001,Desmond Ridder,nfl.p.34030,Desmond,Ridder,QB,ATL,WAS,WAS@ATL,1:00PM EDT,22,14.3, , ,Desmond Ridder,0.65,"('Desmond Ridder', 0.65, 22, 14.3, 2.700000000000001, 16.3, 13.6)"
140,Ryan Tannehill,TEN,14.0,17.4,13.3,QB,4.099999999999998,Ryan Tannehill,nfl.p.25718,Ryan,Tannehill,QB,TEN,BAL,BAL@TEN,9:30AM EDT,20,11.0, , ,Ryan Tannehill,0.7,"('Ryan Tannehill', 0.7, 20, 14.0, 4.099999999999998, 17.4, 13.3)"
141,Daniel Jones,NYG,13.9,20.4,6.9,QB,13.499999999999998,Daniel Jones,nfl.p.31838,Daniel,Jones,QB,NYG,BUF,NYG@BUF,8:20PM EDT,20,12.2,Q, ,Daniel Jones,0.6950000000000001,"('Daniel Jones', 0.6950000000000001, 20, 13.9, 13.499999999999998, 20.4, 6.9)"
142,Zach Wilson,NYJ,13.7,13.8,11.7,QB,2.1000000000000014,Zach Wilson,nfl.p.33390,Zach,Wilson,QB,NYJ,PHI,PHI@NYJ,4:25PM EDT,21,11.1, , ,Zach Wilson,0.6523809523809524,"('Zach Wilson', 0.6523809523809524, 21, 13.7, 2.1000000000000014, 13.8, 11.7)"
143,Mac Jones,NE,13.5,15.1,12.8,QB,2.299999999999999,Mac Jones,nfl.p.33403,Mac,Jones,QB,NE,LV,NE@LV,4:05PM EDT,21,11.3, , ,Mac Jones,0.6428571428571429,"('Mac Jones', 0.6428571428571429, 21, 13.5, 2.299999999999999, 15.1, 12.8)"
187,Christian McCaffrey,SF,18.7,25.0,18.8,RB,6.199999999999999,Christian McCaffrey,nfl.p.30121,Christian,McCaffrey,RB,SF,CLE,SF@CLE,1:00PM EDT,38,24.8, , ,Christian McCaffrey,0.4921052631578947,"('Christian McCaffrey', 0.4921052631578947, 38, 18.7, 6.199999999999999, 25.0, 18.8)"
188,Alvin Kamara,NO,15.7,20.4,15.5,RB,4.899999999999999,Alvin Kamara,nfl.p.30180,Alvin,Kamara,RB,NO,HOU,NO@HOU,1:00PM EDT,22,16.0, , ,Alvin Kamara,0.7136363636363636,"('Alvin Kamara', 0.7136363636363636, 22, 15.7, 4.899999999999999, 20.4, 15.5)"
189,Austin Ekeler,LAC,15.7,21.2,14.5,RB,6.699999999999999,Austin Ekeler,nfl.p.30423,Austin,Ekeler,RB,LAC,DAL,DAL@LAC,8:15PM EDT,29,24.4,Q, ,Austin Ekeler,0.5413793103448276,"('Austin Ekeler', 0.5413793103448276, 29, 15.7, 6.699999999999999, 21.2, 14.5)"
190,Tony Pollard,DAL,15.6,20.2,14.9,RB,5.299999999999999,Tony Pollard,nfl.p.31960,Tony,Pollard,RB,DAL,LAC,DAL@LAC,8:15PM EDT,26,13.0,Q, ,Tony Pollard,0.6,"('Tony Pollard', 0.6, 26, 15.6, 5.299999999999999, 20.2, 14.9)"
191,Josh Jacobs,LV,15.2,19.9,15.3,RB,4.599999999999998,Josh Jacobs,nfl.p.31856,Josh,Jacobs,RB,LV,NE,NE@LV,4:05PM EDT,23,13.3, , ,Josh Jacobs,0.6608695652173913,"('Josh Jacobs', 0.6608695652173913, 23, 15.2, 4.599999999999998, 19.9, 15.3)"
192,Kyren Williams,LAR,15.2,20.1,14.3,RB,5.800000000000001,Kyren Williams,nfl.p.34120,Kyren,Williams,RB,LA,ARI,ARI@LA,4:25PM EDT,28,16.6, , ,Kyren Williams,0.5428571428571428,"('Kyren Williams', 0.5428571428571428, 28, 15.2, 5.800000000000001, 20.1, 14.3)"
193,Raheem Mostert,MIA,15.0,17.9,15.4,RB,2.4999999999999982,Raheem Mostert,nfl.p.28654,Raheem,Mostert,RB,MIA,CAR,CAR@MIA,1:00PM EDT,27,19.5, , ,Raheem Mostert,0.5555555555555556,"('Raheem Mostert', 0.5555555555555556, 27, 15.0, 2.4999999999999982, 17.9, 15.4)"
194,Bijan Robinson,ATL,14.8,19.5,14.9,RB,4.6,Bijan Robinson,nfl.p.40055,Bijan,Robinson,RB,ATL,WAS,WAS@ATL,1:00PM EDT,28,14.3, , ,Bijan Robinson,0.5285714285714286,"('Bijan Robinson', 0.5285714285714286, 28, 14.8, 4.6, 19.5, 14.9)"
195,Isiah Pacheco,KC,14.8,18.7,14.1,RB,4.6,Isiah Pacheco,nfl.p.34207,Isiah,Pacheco,RB,KC,DEN,DEN@KC,8:15PM EDT,24,13.2, , ,Isiah Pacheco,0.6166666666666667,"('Isiah Pacheco', 0.6166666666666667, 24, 14.8, 4.6, 18.7, 14.1)"
196,Travis Etienne Jr.,JAC,14.7,18.6,14.8,RB,3.8000000000000007,Travis Etienne Jr.,nfl.p.33413,Travis,Etienne Jr.,RB,JAC,IND,IND@JAC,1:00PM EDT,24,16.6, , ,Travis Etienne Jr.,0.6124999999999999,"('Travis Etienne Jr.', 0.6124999999999999, 24, 14.7, 3.8000000000000007, 18.6, 14.8)"
197,David Montgomery,DET,14.6,16.6,14.4,RB,2.200000000000001,David Montgomery,nfl.p.31905,David,Montgomery,RB,DET,TB,DET@TB,4:25PM EDT,28,19.6, , ,David Montgomery,0.5214285714285715,"('David Montgomery', 0.5214285714285715, 28, 14.6, 2.200000000000001, 16.6, 14.4)"
198,D'Andre Swift,PHI,14.3,18.3,13.0,RB,5.300000000000001,D'Andre Swift,nfl.p.32705,D'Andre,Swift,RB,PHI,NYJ,PHI@NYJ,4:25PM EDT,25,14.1, , ,D'Andre Swift,0.5720000000000001,"(""D'Andre Swift"", 0.5720000000000001, 25, 14.3, 5.300000000000001, 18.3, 13.0)"
199,Kenneth Walker III,SEA,13.6,17.7,12.6,RB,5.1,Kenneth Walker III,nfl.p.33996,Kenneth,Walker III,RB,SEA,CIN,SEA@CIN,1:00PM EDT,27,17.4, , ,Kenneth Walker III,0.5037037037037037,"('Kenneth Walker III', 0.5037037037037037, 27, 13.6, 5.1, 17.7, 12.6)"
